ref,title,description,county,status,date_lodged,date_signed,list_type,source_url,energy_type,week_ending,latitude,longitude
324595,"REDIII Amendment - Private DevelopmentIn the townlands of Ballyline West, Coolkeragh, Dromalivaun and Tullamore, Co. KerryCase reference:324595Status:Case is due to be decided by 23/12/2026Description:Request to alter the terms of the previously permitted Shronowen Wind Farm (Ref: ABP-309156-21)Date lodged:20/08/2026EIAR:NoNIS:NoPartiesShronowen Wind Farm Ltd.
															(Active)",Request to alter the terms of the previously permitted Shronowen Wind Farm (Ref: ABP-309156-21),Kerry,Case is due to be decided by 23/12/2026 Description: Request to alter the terms of the previously permitted Shronowen Wi,20/08/2026,,N,https://www.pleanala.ie/en-ie/case/324595,wind,21/08/2026,52.1546,-9.5231
324581,"Pre-Application Consultation Requestlocated in the townlands of Griffinrath, Corbally, Toolestown and Taghadoe, Celbridge Co. Kilda...Case reference:324581Status:Case is due to be decided by 21/12/2026Description:Proposed development of a 110kV GIS Substation( Killeenlea), 110kv AIS Substation (Kilwoghan), 110kV underground ca...Date lodged:18/08/2026EIAR:NoNIS:NoPartiesToolestown Solar DAC
								(Applicant)Toolestown Solar DAC
															(Active)","Proposed development of a 110kV GIS Substation( Killeenlea), 110kv AIS Substation (Kilwoghan), 110kV underground ca...",Dublin,"Case is due to be decided by 21/12/2026 Description: Proposed development of a 110kV GIS Substation( Killeenlea), 110kv ",18/08/2026,,N,https://www.pleanala.ie/en-ie/case/324581,grid,21/08/2026,53.3498,-6.2603
324597,"Electricity Development Applicationlocated in various townlands across counties Leitrim and Sligo. (https://lissinagroaghgridplann...Case reference:324597Status:Case is due to be decided byDescription:Planning Application for a 110kV substation and a 110kV grid connection route to facilitate Lissinagroagh Wind Farm...Date lodged:21/08/2026EIAR:YesNIS:YesPartiesFuturEnergy Lissinagroagh DAC
								(Applicant)FuturEnergy Lissinagroagh DAC
															(Active)",Planning Application for a 110kV substation and a 110kV grid connection route to facilitate Lissinagroagh Wind Farm...,Leitrim,Case is due to be decided by Description: Planning Application for a 110kV substation and a 110kV grid connection route ,21/08/2026,,N,https://www.pleanala.ie/en-ie/case/324597,wind,21/08/2026,54.0,-8.0
501903,"Planning AppealBallycummin , Raheen , Co. LimerickCase reference:501903Status:Case due to be decided by 21-12-2026Description:Construction of motor sales & service facility, car wash, ESB substation, external plant enclosure, car parking, si...Date lodged:17/08/2026EIAR:NoNIS:YesPartiesBrian Geary Motors Ltd
								(Applicant)Tom Ryan
								(3rd Party Appellant)
															(Active)Limerick City and County Council
								(Planning Authority)
															(Active)Brian Geary Motors Ltd
								(Applicant For Development)
															(Active)","Construction of motor sales & service facility, car wash, ESB substation, external plant enclosure, car parking, si...",Limerick,"Case due to be decided by 21-12-2026 Description: Construction of motor sales & service facility, car wash, ESB substati",17/08/2026,,N,https://www.pleanala.ie/en-ie/case/501903,grid,21/08/2026,52.6638,-8.6267
501904,"Leave to Appeal S37(6)Kilathmoy Substation , Athea Upper , Athea Co. LimerickCase reference:501904Status:Case due to be decided by 15-09-2026Description:RED III: 10 year permission for Long duration energy storage facility to include BESS compound and all associated s...Date lodged:19/08/2026EIAR:NoNIS:YesPartiesWinter Winds Ltd
								(Applicant)Limerick City and County Council
								(Planning Authority)
															(Active)Timothy Scanlon
								(Applicant For Leave To Appeal)
															(Active)Winter Winds Ltd
								(Applicant For Development)
															(Active)",RED III: 10 year permission for Long duration energy storage facility to include BESS compound and all associated s...,Limerick,Case due to be decided by 15-09-2026 Description: RED III: 10 year permission for Long duration energy storage facility ,19/08/2026,,N,https://www.pleanala.ie/en-ie/case/501904,bess,21/08/2026,52.6638,-8.6267
501920,"Planning AppealWithin the townlands of Ballykeerogemore, Ballykeerogebeg, Knockea and Garryduff, County Wexfor...Case reference:501920Status:Case due to be decided by 21-12-2026Description:RED III Application. 10-year planning permission for a solar photovoltaic and battery energy storage system develop...Date lodged:17/08/2026EIAR:NoNIS:YesPartiesShelbourne Solar Limited
								(Applicant)Sheldon Petersen and Sarah O'Neill
								(3rd Party Appellant)
															(Active)Isabelle Rouviere
								(3rd Party Appellant)
															(Active)James and Eileen Furlong
								(3rd Party Appellant)
															(Invalid)Wexford County Council
								(Planning Authority)
															(Active)Shelbourne Solar Limited
								(Applicant For Development)
															(Active)",RED III Application. 10-year planning permission for a solar photovoltaic and battery energy storage system develop...,Wexford,Case due to be decided by 21-12-2026 Description: RED III Application. 10-year planning permission for a solar photovolt,17/08/2026,,N,https://www.pleanala.ie/en-ie/case/501920,solar,21/08/2026,52.4798,-6.4576
314187,"Pre-Application Consultation RequestKilloshulan and Ballyragget, Co. Kilkenny.Case reference:314187Status:WithdrawnDescription:Proposed 110kV electrical infrastructure which will facilitate the connection of the proposed Killoshulan Wind Farm...Date lodged:27/07/2022
					;Signed: 18/08/2026EIAR:NoNIS:NoPartiesKilloshulan Renewable Energy Limited
								(Applicant)Killoshulan Renewable Energy Limited
								(Applicant)
															(Withdrawn)",Proposed 110kV electrical infrastructure which will facilitate the connection of the proposed Killoshulan Wind Farm...,Kilkenny,Withdrawn Description: Proposed 110kV electrical infrastructure which will facilitate the connection of the proposed Kil,27/07/2022,,D,https://www.pleanala.ie/en-ie/case/314187,wind,21/08/2026,52.6538,-7.2493
324114,"Electricity Development Applicationlocated in the townlands of Killoran, County Tipperary (www.cooleenysubstation.com).Case reference:324114Status:Approve with ConditionsDescription:10 year planning permission for a 110kV electrical substation and associated 110kV underground grid connection, cab...Date lodged:27/02/2026
					;Signed: 20/08/2026EIAR:NoNIS:YesPartiesSoleirtricity Lisheen Ltd
								(Applicant)Soleirtricity Lisheen Ltd
															(Active)","10 year planning permission for a 110kV electrical substation and associated 110kV underground grid connection, cab...",Tipperary,Approve with Conditions Description: 10 year planning permission for a 110kV electrical substation and associated 110kV ,27/02/2026,,D,https://www.pleanala.ie/en-ie/case/324114,grid,21/08/2026,52.6807,-7.8246
501871,"Planning AppealLands to the West of Mannok Cement WorksBallyconnell County Cavan. , In the Townlands of Muckla...Case reference:501871Status:Case due to be decided by 16-12-2026Description:40 year operation for development comprising ground mounted solar panels, mounted on steel support structures, unde...Date lodged:13/08/2026EIAR:NoNIS:NoPartiesMannok Cement Ltd
								(Applicant)Trina Maguire
								(3rd Party Appellant)
															(Active)James & Patricia Donohoe
								(3rd Party Appellant)
															(Active)Cavan County Council
								(Planning Authority)
															(Active)Mannok Cement Ltd
								(Applicant For Development)
															(Active)Claire Haran
								(3rd Party Appellant)
															(Active)","40 year operation for development comprising ground mounted solar panels, mounted on steel support structures, unde...",Cavan,Case due to be decided by 16-12-2026 Description: 40 year operation for development comprising ground mounted solar pane,13/08/2026,,N,https://www.pleanala.ie/en-ie/case/501871,solar,14/08/2026,53.9908,-7.3606
324563,"Appeal - LRDDromdarrig, Mungret, Co. LimerickCase reference:324563Status:Case is due to be decided by 30/11/2026Description:LRD: construction of 169 residential units, creche, pumping station, 3 ESB substation and associated site works. A ...Date lodged:10/08/2026EIAR:NoNIS:YesPartiesTom Ryan
															(Active)","LRD: construction of 169 residential units, creche, pumping station, 3 ESB substation and associated site works. A ...",Limerick,"Case is due to be decided by 30/11/2026 Description: LRD: construction of 169 residential units, creche, pumping station",10/08/2026,,N,https://www.pleanala.ie/en-ie/case/324563,grid,14/08/2026,52.6638,-8.6267
501855,"Planning AppealRaheen Business Park , Raheen , LimerickCase reference:501855Status:Case due to be decided by 14-12-2026Description:RED III: installation of solar photovoltaic plant, underground cabling, security fencing, CCTV and associated site ...Date lodged:10/08/2026EIAR:NoNIS:NoPartiesEli Lilly Kinsale Limited
								(Applicant)Tom Ryan
								(3rd Party Appellant)
															(Active)Eli Lilly Kinsale Limited
								(Applicant For Development)
															(Active)Limerick City and County Council
								(Planning Authority)
															(Active)","RED III: installation of solar photovoltaic plant, underground cabling, security fencing, CCTV and associated site ...",Limerick,"Case due to be decided by 14-12-2026 Description: RED III: installation of solar photovoltaic plant, underground cabling",10/08/2026,,N,https://www.pleanala.ie/en-ie/case/501855,solar,14/08/2026,52.6638,-8.6267
501853,"Planning AppealTownlands of Knockroe, Cunlaghfadda, Harefield, Cloonbaul and Knockaunakill, County Mayo.Case reference:501853Status:Case due to be decided by 14-12-2026Description:Ten-year planning permission for a renewable energy development consisting of 7 no. wind turbines. Subsequent decom...Date lodged:10/08/2026EIAR:YesNIS:YesPartiesCunlaghfadda Green Energy Limited
								(Applicant)Cunlaghfadda Green Energy Limited
								(1st Party Appellant)
															(Active)Mayo County Council
								(Planning Authority)
															(Active)",Ten-year planning permission for a renewable energy development consisting of 7 no. wind turbines. Subsequent decom...,Mayo,Case due to be decided by 14-12-2026 Description: Ten-year planning permission for a renewable energy development consis,10/08/2026,,N,https://www.pleanala.ie/en-ie/case/501853,wind,14/08/2026,53.8378,-9.4001
501307,"Planning AppealTullyneasky West, Clonakilty, Co. CorkCase reference:501307Status:Grant permissionDescription:Demolition of 2 existing buildings. Construction of cable landing station, ESB substation, switch room and external...Date lodged:08/05/2026
					;Signed: 14/08/2026EIAR:NoNIS:NoPartiesAmazon MCS Ireland Ltd
								(Applicant)Eileen Lynch & Owen McCarthy
								(3rd Party Appellant)
															(Active)West Cork County Council
								(Planning Authority)
															(Active)Amazon MCS Ireland Ltd
								(Applicant For Development)
															(Active)","Demolition of 2 existing buildings. Construction of cable landing station, ESB substation, switch room and external...",Cork,"Grant permission Description: Demolition of 2 existing buildings. Construction of cable landing station, ESB substation,",08/05/2026,,D,https://www.pleanala.ie/en-ie/case/501307,grid,14/08/2026,51.8985,-8.4756
324499,Filter,Permission for the construction of 7 wind turbines and all associated works. A 10 year planning permission and 35 y...,Carlow,Case is due to be decided by 08/12/2026 Description: Permission for the construction of 7 wind turbines and all associat,05/08/2026,,N,https://www.pleanala.ie/en-ie/case/324499,wind,07/08/2026,52.8377,-6.9298
